plot,treatment,colour,year,grain
5,PKMg,#FF00FF,1985,1.67
6,N1 PKMg,#FF4500,1985,4.97
7,N2 PKMg,#9ACD32,1985,6.92
8,N3 PKMg,#00FA9A,1985,8.19
9,N4 PKMg,#00FFFF,1985,7.89
10,N4,#8FBC8F,1986,0.73
11,N4 PMg,#7FFFD4,1986,3.71
12,N1+N3+N1 PKMg,#228B22,1986,4.43
13,N4 PK,#6B8E23,1986,4.83
14,N4 PKMg*,#008080,1986,5.19
15,N5 PKMg,#00008B,1986,5.28
16,N6 PKMg,#7B68EE,1986,5.89
17,N1+N4+N1 PKMg,#32CD32,1986,5.91
18,N1+N2+N1 PKMg,#FFD700,1986,6.05
19,N1+N1+N1 KMg,#FF8C00,1986,2.95
21,FYM N2,#8B0000,1986,7.39
22,FYM,#FF0000,1986,5.55
3,Nil,#00BFFF,1986,1.5
5,PKMg,#FF00FF,1986,1.89
6,N1 PKMg,#FF4500,1986,3.69
7,N2 PKMg,#9ACD32,1986,5.05
8,N3 PKMg,#00FA9A,1986,5.74
9,N4 PKMg,#00FFFF,1986,5.78
10,N4,#8FBC8F,1987,2.9
11,N4 PMg,#7FFFD4,1987,3.89
12,N1+N3+N1 PKMg,#228B22,1987,4.88
13,N4 PK,#6B8E23,1987,5.54
14,N4 PKMg*,#008080,1987,5.4
15,N5 PKMg,#00008B,1987,6.81
16,N6 PKMg,#7B68EE,1987,6.96
17,N1+N4+N1 PKMg,#32CD32,1987,6.39
18,N1+N2+N1 PKMg,#FFD700,1987,6.37
19,N1+N1+N1 KMg,#FF8C00,1987,2.49
21,FYM N2,#8B0000,1987,8.97
22,FYM,#FF0000,1987,7.7
3,Nil,#00BFFF,1987,1.24
5,PKMg,#FF00FF,1987,1.31
6,N1 PKMg,#FF4500,1987,3.55
7,N2 PKMg,#9ACD32,1987,4.89
8,N3 PKMg,#00FA9A,1987,6.47
9,N4 PKMg,#00FFFF,1987,6.71
10,N4,#8FBC8F,1988,1.63
11,N4 PMg,#7FFFD4,1988,1.29
12,N1+N3+N1 PKMg,#228B22,1988,1.36
13,N4 PK,#6B8E23,1988,4.76
14,N4 PKMg*,#008080,1988,3.85
15,N5 PKMg,#00008B,1988,5.58
16,N6 PKMg,#7B68EE,1988,6.9
17,N1+N4+N1 PKMg,#32CD32,1988,6.66
18,N1+N2+N1 PKMg,#FFD700,1988,6.08
19,N1+N1+N1 KMg,#FF8C00,1988,0.55
21,FYM N2,#8B0000,1988,7.51
22,FYM,#FF0000,1988,5.19
3,Nil,#00BFFF,1988,0.35
5,PKMg,#FF00FF,1988,0.28
6,N1 PKMg,#FF4500,1988,3.35
7,N2 PKMg,#9ACD32,1988,4.26
8,N3 PKMg,#00FA9A,1988,5.92
9,N4 PKMg,#00FFFF,1988,5.3
10,N4,#8FBC8F,1989,2.16
11,N4 PMg,#7FFFD4,1989,1.98
12,N1+N3+N1 PKMg,#228B22,1989,3.68
13,N4 PK,#6B8E23,1989,5.06
14,N4 PKMg*,#008080,1989,4.82
15,N5 PKMg,#00008B,1989,5.53
16,N6 PKMg,#7B68EE,1989,5.82
17,N1+N4+N1 PKMg,#32CD32,1989,5.45
18,N1+N2+N1 PKMg,#FFD700,1989,5.24
19,N1+N1+N1 KMg,#FF8C00,1989,1.33
21,FYM N2,#8B0000,1989,7.56
22,FYM,#FF0000,1989,6.62
3,Nil,#00BFFF,1989,0.74
5,PKMg,#FF00FF,1989,1.62
6,N1 PKMg,#FF4500,1989,3.48
7,N2 PKMg,#9ACD32,1989,4.31
8,N3 PKMg,#00FA9A,1989,5.07
9,N4 PKMg,#00FFFF,1989,4.7
10,N4,#8FBC8F,1990,4.7
11,N4 PMg,#7FFFD4,1990,5.37
12,N1+N3+N1 PKMg,#228B22,1990,6.26
13,N4 PK,#6B8E23,1990,6.46
14,N4 PKMg*,#008080,1990,6.6
15,N5 PKMg,#00008B,1990,7.16
16,N6 PKMg,#7B68EE,1990,8.27
17,N1+N4+N1 PKMg,#32CD32,1990,7.82
18,N1+N2+N1 PKMg,#FFD700,1990,7.41
19,N1+N1+N1 KMg,#FF8C00,1990,1.84
21,FYM N2,#8B0000,1990,8.21
22,FYM,#FF0000,1990,6.44
3,Nil,#00BFFF,1990,1.06
5,PKMg,#FF00FF,1990,1.72
6,N1 PKMg,#FF4500,1990,4.72
7,N2 PKMg,#9ACD32,1990,6.36
8,N3 PKMg,#00FA9A,1990,7.84
9,N4 PKMg,#00FFFF,1990,6.96
10,N4,#8FBC8F,1991,4
11,N4 PMg,#7FFFD4,1991,1.85
12,N1+N3+N1 PKMg,#228B22,1991,2.22
13,N4 PK,#6B8E23,1991,6.09
14,N4 PKMg*,#008080,1991,6.2
15,N5 PKMg,#00008B,1991,8.84
16,N6 PKMg,#7B68EE,1991,8.22
17,N1+N4+N1 PKMg,#32CD32,1991,7.3
18,N1+N2+N1 PKMg,#FFD700,1991,7.38
19,N1+N1+N1 KMg,#FF8C00,1991,1.76
21,FYM N2,#8B0000,1991,9.1
22,FYM,#FF0000,1991,6.87
3,Nil,#00BFFF,1991,0.96
5,PKMg,#FF00FF,1991,1.09
6,N1 PKMg,#FF4500,1991,3.78
7,N2 PKMg,#9ACD32,1991,6.19
8,N3 PKMg,#00FA9A,1991,7.76
9,N4 PKMg,#00FFFF,1991,8.21
10,N4,#8FBC8F,1992,2.9
11,N4 PMg,#7FFFD4,1992,2.39
12,N1+N3+N1 PKMg,#228B22,1992,3.37
13,N4 PK,#6B8E23,1992,6.55
14,N4 PKMg*,#008080,1992,6.59
15,N5 PKMg,#00008B,1992,8.32
16,N6 PKMg,#7B68EE,1992,8
17,N1+N4+N1 PKMg,#32CD32,1992,8.21
18,N1+N2+N1 PKMg,#FFD700,1992,8.03
19,N1+N1+N1 KMg,#FF8C00,1992,2.64
21,FYM N2,#8B0000,1992,8.03
22,FYM,#FF0000,1992,8.18
3,Nil,#00BFFF,1992,0.72
5,PKMg,#FF00FF,1992,1.59
6,N1 PKMg,#FF4500,1992,4.26
7,N2 PKMg,#9ACD32,1992,6.07
8,N3 PKMg,#00FA9A,1992,7.83
9,N4 PKMg,#00FFFF,1992,8.07
10,N4,#8FBC8F,1993,2.11
11,N4 PMg,#7FFFD4,1993,2.08
12,N1+N3+N1 PKMg,#228B22,1993,2.22
13,N4 PK,#6B8E23,1993,3.53
14,N4 PKMg*,#008080,1993,3.9
15,N5 PKMg,#00008B,1993,6.94
16,N6 PKMg,#7B68EE,1993,8.21
17,N1+N4+N1 PKMg,#32CD32,1993,6.51
18,N1+N2+N1 PKMg,#FFD700,1993,6.73
19,N1+N1+N1 KMg,#FF8C00,1993,1.29
21,FYM N2,#8B0000,1993,9.33
22,FYM,#FF0000,1993,6.44
3,Nil,#00BFFF,1993,0.6
5,PKMg,#FF00FF,1993,0.85
6,N1 PKMg,#FF4500,1993,3.46
7,N2 PKMg,#9ACD32,1993,4.53
8,N3 PKMg,#00FA9A,1993,5.14
9,N4 PKMg,#00FFFF,1993,6.97
10,N4,#8FBC8F,1994,1.95
11,N4 PMg,#7FFFD4,1994,2.79
12,N1+N3+N1 PKMg,#228B22,1994,4.19
13,N4 PK,#6B8E23,1994,5.28
14,N4 PKMg*,#008080,1994,5.45
15,N5 PKMg,#00008B,1994,7.36
16,N6 PKMg,#7B68EE,1994,7.62
17,N1+N4+N1 PKMg,#32CD32,1994,6.11
18,N1+N2+N1 PKMg,#FFD700,1994,6.62
19,N1+N1+N1 KMg,#FF8C00,1994,1.45
21,FYM N2,#8B0000,1994,7.07
22,FYM,#FF0000,1994,4.22
3,Nil,#00BFFF,1994,0.27
5,PKMg,#FF00FF,1994,0.53
6,N1 PKMg,#FF4500,1994,3.05
7,N2 PKMg,#9ACD32,1994,4.39
8,N3 PKMg,#00FA9A,1994,5.62
9,N4 PKMg,#00FFFF,1994,5.79
10,N4,#8FBC8F,1995,0
11,N4 PMg,#7FFFD4,1995,2.74
